A136 	  	100 	66 	51 	47 	  	66
A137 	  	100 	77 	72 	66 	  	79
A138 	  	100 	50 	43 	54 	  	62
A139 	  	100 	96 	69 	56 	  	80
A140 	  	59 	20 		11 	  	23
A141 	  	100 	50 	30 	59 	  	59
A142 	  	100 	73 	74 	27 	  	68
A143 	  	100 	73 	36 	25 	  	58
A144 	  	100 	94 	85 	73 	  	88
A145 	  	100 	71 	64 	92 	  	82
A146 	  	100 	82 	100 	97 	  	95
A147 	  	100 	61 	70 	64 	  	73
A148 	  	100 	85 	51 	73 	  	77
A149 	  	100 	88 	77 	46 	  	78
A150 	  	62 	50 	23 	45 	  	45
A151 	  	75 	50 	59 		  	46
A152 	  	100 	83 	73 	64 	  	80
A153 	  	100 	58 	35 	61 	  	64
A154 	  	100 	62 	99 	86 	  	87
A155 	  	100 	53 	42 	60 	  	63
A156 	  	100 	66 	93 		  	65
A157 	  	100 	61 	66 	74 	  	75
A158 	  	100 	45 	49 	25 	  	55
A159 	  	100 	58 	66 		  	56
A160 	  	100 	56 	58 	51 	  	66
A161 	  	100 	76 	80 	89 	  	86
A162 	  	97 	52 	48 	96 	  	73
A163 	  	100 	80 	60 	90 	  	82
A164 	  	100 	72 	68 	75 	  	79
A165 	  	97 	68 	50 	50 	  	66
A166 	  	94 	65 	10 	70 	  	60
A167 	  	100 	56 	89 	78 	  	81
A168 	  	100 	91 	68 	54 	  	78
A169 	  	100 	72 	76 	84 	  	83
A170 	  	100 	63 	79 	75 	  	79
A171 	  	100 	82 	54 	48 	  	71
A173 	  	97 	33 	26 	66 	  	56
A174 	  	100 	92 	82 	97 	  	92
A175 	  	100 	65 	87 	77 	  	82
A176 	  	100 	59 	57 	78 	  	73
A177 	  	53 	30 	43 	45 	  	43
A178 	  	100 	66 	59 	64 	  	72
A179 	  	100 	94 	97 	95 	  	96
A180 	  	100 	70 	70 	55 	  	73
A181 	  	100 	49 	13 		  	40
A182 	  	100 	68 	68 	78 	  	78
A183 	  	100 	88 	75 	66 	  	82
A184 	  	100 	55 	41 	54 	  	62
A185 	  	100 	68 	87 	73 	  	82
A186 	  	100 	74 	60 	50 	  	71
A187 	  	97 	85 	59 	80 	  	80
A188 	  	100 	69 	53 	59 	  	70
A189 	  	97 	43 	40 	38 	  	54
A190 	  	100 	82 	67 	56 	  	76
A191 	  	100 	63 	66 	63 	  	73
A192 	  	100 	55 	72 	46 	  	68
A193 	  	100 	86 	86 	91 	  	90
A194 	  	100 	58 	67 	74 	  	75
A195 	  	100 	84 	97 	66 	  	87
A196 	  	100 	45 	41 	42 	  	57
A197 	  	100 	88 	60 	63 	  	78
A198 	  	100 	90 	77 	43 	  	77
A199 	  	100 	65 	72 	56 	  	73
A200 	  	100 	66 	64 	71 	  	75
A201 	  	100 	56 	31 	59 	  	62
A202 	  	100 	81 	72 	64 	  	79
A203 	  	100 	94 	91 	87 	  	93
